split_type,split_label,variant,variant_label,property,log_R2,log_MAE,NMAE_mean,R2,label_count,visualization_note
random_point,Random point,base,Base,Density,0.9939793944358826,0.0058775339275598,0.0057215064132057,0.9948013424873352,2638,
random_point,Random point,base,Base,ElectricalConductivity,0.962045967578888,0.2600772976875305,0.1951926475186263,0.7330785989761353,750,
random_point,Random point,base,Base,HeatCapacity,0.984732985496521,0.0279182102531194,0.0288905734665572,0.9861718416213988,1495,
random_point,Random point,base,Base,SurfaceTension,0.9707975387573242,0.0259772762656211,0.026145199528606,0.9692994952201844,780,
random_point,Random point,base,Base,ThermalConductivity,0.9403142929077148,0.0257075559347867,0.026912392605022,0.9184967875480652,126,
random_point,Random point,base,Base,Viscosity,0.9586274027824402,0.1663823425769806,0.7394702822384243,0.3983224630355835,1809,
random_point,Random point,finetune_weak,Fine-tuned,Density,0.9947201013565063,0.00458620255813,0.0044605803598099,0.9955249428749084,2638,
random_point,Random point,finetune_weak,Fine-tuned,ElectricalConductivity,0.978540539741516,0.1596476584672927,0.1167749686220608,0.889665424823761,750,
random_point,Random point,finetune_weak,Fine-tuned,HeatCapacity,0.9893888235092164,0.0174067616462707,0.0169802938689151,0.993070125579834,1495,
random_point,Random point,finetune_weak,Fine-tuned,SurfaceTension,0.9766091704368592,0.0203243345022201,0.0197363286961577,0.977305233478546,780,
random_point,Random point,finetune_weak,Fine-tuned,ThermalConductivity,0.9589723348617554,0.019607488065958,0.0202454806072506,0.9452828764915466,126,
random_point,Random point,finetune_weak,Fine-tuned,Viscosity,0.9650319814682008,0.1106467992067337,0.9322596666987192,0.1081082224845886,1809,
il_pair,IL-pair,base,Base,Density,0.953861653804779,0.0183429066091775,0.0179362829904268,0.9564393162727356,2957,
il_pair,IL-pair,base,Base,ElectricalConductivity,0.9233798384666444,0.3512091934680938,0.2556421330099469,0.867344319820404,997,
il_pair,IL-pair,base,Base,HeatCapacity,0.9312516450881958,0.0639530047774314,0.0695451293174664,0.9045928120613098,1363,
il_pair,IL-pair,base,Base,SurfaceTension,0.35783451795578,0.0841094106435775,0.0801034184564667,0.4384675025939941,1061,
il_pair,IL-pair,base,Base,ThermalConductivity,0.5195595026016235,0.0796076282858848,0.0804212912076853,0.4495223760604858,152,
il_pair,IL-pair,base,Base,Viscosity,0.885780930519104,0.3240557312965393,0.4712162325574577,0.8086198568344116,1905,
il_pair,IL-pair,finetune_weak,Fine-tuned,Density,0.9505496025085448,0.0180304553359746,0.0175304876166792,0.9533486366271972,2957,
il_pair,IL-pair,finetune_weak,Fine-tuned,ElectricalConductivity,0.9247941970825196,0.3473489880561828,0.2622741521855138,0.7970539331436157,997,
il_pair,IL-pair,finetune_weak,Fine-tuned,HeatCapacity,0.9318377375602722,0.0679098665714263,0.0741267511174107,0.900559663772583,1363,
il_pair,IL-pair,finetune_weak,Fine-tuned,SurfaceTension,0.3062230944633484,0.0794074982404708,0.0759309261134777,0.4323179125785827,1061,
il_pair,IL-pair,finetune_weak,Fine-tuned,ThermalConductivity,0.5677365064620972,0.0766584053635597,0.0773487782782287,0.5017167329788208,152,
il_pair,IL-pair,finetune_weak,Fine-tuned,Viscosity,0.8772693276405334,0.3282954394817352,0.4284839737482411,0.8279821276664734,1905,
cation_family,Cation-family,base,Base,Density,0.4910164475440979,0.088869921863079,0.0875557341662972,0.5286035537719727,4111,
cation_family,Cation-family,base,Base,ElectricalConductivity,0.7008020877838135,0.697187066078186,0.5788240577401643,0.3397985696792602,610,
cation_family,Cation-family,base,Base,HeatCapacity,0.5155400037765503,0.2741488516330719,0.2720628584960323,0.554428219795227,495,
cation_family,Cation-family,base,Base,SurfaceTension,-0.2944153547286987,0.1860165148973465,0.1807742434888302,-0.1538646221160888,278,
cation_family,Cation-family,base,Base,ThermalConductivity,-0.0107979774475097,0.1429503858089447,0.1453866844544327,-0.0674470663070678,52,
cation_family,Cation-family,base,Base,Viscosity,0.2141756415367126,0.865810215473175,0.9909217856796118,0.0056486129760742,1469,
cation_family,Cation-family,finetune_weak,Fine-tuned,Density,0.6324765086174011,0.0769150182604789,0.0756202444933082,0.6627124547958374,4111,
cation_family,Cation-family,finetune_weak,Fine-tuned,ElectricalConductivity,0.5819594264030457,0.8332261443138123,0.6484095527320635,0.2058607935905456,610,
cation_family,Cation-family,finetune_weak,Fine-tuned,HeatCapacity,0.5103002190589905,0.2808077335357666,0.2823626603388514,0.5380340218544006,495,
cation_family,Cation-family,finetune_weak,Fine-tuned,SurfaceTension,-0.4962784051895141,0.1914184540510177,0.1836471107531448,-0.3211685419082641,278,
cation_family,Cation-family,finetune_weak,Fine-tuned,ThermalConductivity,0.2470422983169555,0.1278746277093887,0.1310430148540311,0.1842539310455322,52,
cation_family,Cation-family,finetune_weak,Fine-tuned,Viscosity,-0.0067874193191528,0.9831709265708924,1.4520905773109851,-0.2081142663955688,1469,
anion_family,Anion-family,base,Base,Density,0.5734608769416809,0.0394346117973327,0.0394067591996469,0.5539222955703735,1841,
anion_family,Anion-family,base,Base,ElectricalConductivity,0.7770403623580933,1.5793968439102173,0.5001808107664112,0.6653307676315308,620,
anion_family,Anion-family,base,Base,HeatCapacity,0.8865934014320374,0.0887549221515655,0.1000818702721867,0.8602621555328369,720,
anion_family,Anion-family,base,Base,SurfaceTension,0.3110412359237671,0.1421668976545334,0.138551884724471,0.1935718059539795,771,
anion_family,Anion-family,base,Base,ThermalConductivity,,0.4341206848621368,,,163,masked_outlier: anion_family/base/ThermalConductivity
anion_family,Anion-family,base,Base,Viscosity,0.6670247316360474,0.7731100916862488,0.9999996649000756,-0.0010393857955932,2032,
anion_family,Anion-family,finetune_weak,Fine-tuned,Density,0.523853063583374,0.0422012247145175,0.041456328651643,0.5252242684364319,1841,
anion_family,Anion-family,finetune_weak,Fine-tuned,ElectricalConductivity,0.8124282360076904,1.310729742050171,0.353549549222748,0.2786443829536438,620,
anion_family,Anion-family,finetune_weak,Fine-tuned,HeatCapacity,0.6453591585159302,0.1372536271810531,0.1576644772726584,0.6069232225418091,720,
anion_family,Anion-family,finetune_weak,Fine-tuned,SurfaceTension,0.1316351890563964,0.1566171646118164,0.1506059275763909,0.0205753445625305,771,
anion_family,Anion-family,finetune_weak,Fine-tuned,ThermalConductivity,0.4799122214317322,0.0499879345297813,0.049729093133287,0.505901575088501,163,
anion_family,Anion-family,finetune_weak,Fine-tuned,Viscosity,0.6129164695739746,1.0229005813598633,0.9999994135751326,-0.0010391473770141,2032,
