target_property,target_train_ratio,target_only_train_labels,transfer_aux_train_labels,R2 change by transfer,log_R2 change by transfer,MAE reduction by transfer,log_MAE reduction by transfer,Transfer improves raw MAE,Transfer improves log_MAE,Transfer improves R2,Transfer improves log_R2
Density,0.1,1254,22956,0.0024985074996948,0.0043975710868835,-0.0086211124778996,-0.0056431450231377,False,False,True,True
Density,0.25,3136,22956,0.0038270354270935,0.0057336688041687,-0.1214499296686708,-0.122441992289879,False,False,True,True
Density,0.5,6272,22956,-0.0054248571395874,-0.0067837238311767,-0.0908286872377721,-0.0860105001611244,False,False,False,False
ElectricalConductivity,0.1,378,31723,-0.0800648927688598,-0.0248345136642456,-0.0729241933870437,-0.173378499533855,False,False,False,False
ElectricalConductivity,0.25,944,31723,-0.2405893206596374,-0.0659456253051757,-0.3590949667910635,-0.2902827308959907,False,False,False,False
ElectricalConductivity,0.5,1889,31723,-0.6451822519302368,0.0673170089721679,-0.0027881409147334,0.2039330945406891,False,True,False,True
HeatCapacity,0.1,602,29485,0.0199643373489379,0.0182456374168396,-0.1208865603334076,-0.1460340377071557,False,False,True,True
HeatCapacity,0.25,1504,29485,-0.0729081630706787,-0.105713665485382,-0.3986742771607205,-0.4509694077400757,False,False,False,False
HeatCapacity,0.5,3008,29485,-0.0093927979469299,0.0054160356521606,-0.1961524984231551,-0.1863762687873714,False,False,False,True
SurfaceTension,0.1,370,31804,0.1555882096290588,0.1643852591514587,0.2191524592961561,0.2297967604312709,True,True,True,True
SurfaceTension,0.25,924,31804,0.0281798839569091,0.0143077969551086,0.0306219988517663,0.0074700774867875,True,True,True,True
SurfaceTension,0.5,1848,31804,-0.1739788651466369,-0.1390864253044128,-0.3242903971158218,-0.2962362935217159,False,False,False,False
ThermalConductivity,0.1,65,34853,0.1064899563789367,0.0786828994750976,-0.0321445903849725,-0.0041895030329641,False,False,True,True
ThermalConductivity,0.25,162,34853,0.0631399154663086,0.0451664328575134,-0.037377179150476,-0.0491840408863173,False,False,True,True
ThermalConductivity,0.5,324,34853,0.0392503142356872,0.0285404920578002,0.0418061737653918,0.047201625228458,True,True,True,True
Viscosity,0.1,882,26684,7.841388285160065,0.0521132946014404,0.5131463124506889,-0.0146125010363826,True,False,True,True
Viscosity,0.25,2204,26684,-0.0125977396965026,0.0359489917755126,0.0098074162045333,0.0381092471968382,True,True,False,True
Viscosity,0.5,4408,26684,-0.161870002746582,0.0027692914009094,-0.1067849367636125,-0.0203611580000333,False,False,False,True
